許可證字號,藥廠,顯示名稱,分類標籤,濃縮倍數,濃縮生藥組成,原粉生藥組成,賦形劑組成,解析狀態,人工校正提示,原始處方(供對照用)
衛署藥製字第002043號,順天堂,赤芍濃縮顆粒(順天堂),濃縮顆粒劑,5.29,赤芍:1.8,赤芍:0.2,結晶性纖維素:0.31|麥芽糊精:0.15,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有： 
 
 赤芍 (1.80 g)
 
 以上生藥製成浸膏0.34g(生藥與浸膏比例1.8:0.34=5.29:1) ( )
 
 赤芍 (0.20 g)
 
 結晶性纖維素 (0.31 g)
 
 麥芽糊精 (0.15 g)"
衛署藥製字第002063號,順天堂,板藍根濃縮顆粒(順天堂),濃縮顆粒劑,4.97,板藍根:3.33,板藍根:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 板藍根 (3.33 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.33:0.67=4.97:1) ( )
 
 板藍根 (0.33 g)"
衛署藥製字第002434號,順天堂,蘆根濃縮顆粒(順天堂),濃縮顆粒劑,11.06,蘆根:7.41,蘆根:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 蘆根 (7.41 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例7.41:0.67=11.06:1) ( )
 
 蘆根 (0.33 g)"
衛署藥製字第002450號,順天堂,地膚子濃縮顆粒(順天堂),濃縮顆粒劑,6.64,地膚子:4.45,地膚子:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 地膚子 (4.45 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例4.45:0.67=6.64:1) ( )
 
 地膚子 (0.33 g)"
衛署藥製字第002456號,順天堂,生地黃濃縮顆粒(順天堂),濃縮顆粒劑,2,生地黃:1,,結晶性纖維素:0.4|麥芽糊精:0.1,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 生地黃 (1.0 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例1:0.5=2:1) ( )
 
 結晶性纖維素 (0.4 g)
 
 麥芽糊精 (0.1 g)"
衛署藥製字第002534號,順天堂,旱蓮草濃縮顆粒(順天堂),濃縮顆粒劑,4.97,旱蓮草:3.33,旱蓮草:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 旱蓮草 (3.33 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.33:0.67=4.97:1) ( )
 
 旱蓮草 (0.33 g)"
衛署藥製字第002536號,順天堂,合歡皮濃縮顆粒(順天堂),濃縮顆粒劑,5.85,合歡皮:3.92,合歡皮:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 合歡皮 (3.92 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.92:0.67=5.85:1) ( )
 
 合歡皮 (0.33 g)"
衛署藥製字第002537號,順天堂,巴戟天濃縮顆粒(順天堂),濃縮顆粒劑,3.73,巴戟天:2.5,巴戟天:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 巴戟天 (2.5 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例2.5:0.67=3.73:1) ( )
 
 巴戟天 (0.33 g)"
衛署藥製字第002544號,勝昌,薄荷濃縮散(勝昌),濃縮散劑,5.56,薄荷:2.5,薄荷:0.3,硬脂酸鈣:0.01|澱粉:0.24,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 薄荷 (2.50 g)
 
 以上生藥製成浸膏0.45g(生藥與浸膏比例2.50:0.45=5.56:1) ( )
 
 薄荷 (0.30 g)
 
 硬脂酸鈣 (0.01 g)
 
 澱粉 (0.24 g)"
衛署藥製字第002545號,勝昌,遠志濃縮散(勝昌),濃縮散劑,5.63,遠志:3.77,遠志:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 遠志 (3.77 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.77：0.67＝5.63：1) ( )
 
 遠志 (0.33 g)"
衛署藥製字第002546號,勝昌,車前子濃縮散(勝昌),濃縮散劑,11.11,車前子:4,,硬脂酸鈣:0.01|結晶性纖維素:0.03|澱粉:0.6,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 車前子 (4.00 g)
 
 以上生藥製成浸膏0.36g(生藥與浸膏比例4.0:0.36=11.11:1) ( )
 
 硬脂酸鈣 (0.01 g)
 
 結晶性纖維素 (0.03 g)
 
 澱粉 (0.60 g)"
衛署藥製字第002547號,勝昌,大黃濃縮散(勝昌),濃縮散劑,4.45,大黃:1.87,大黃:0.45,硬脂酸鈣:0.01|結晶性纖維素:0.02|澱粉:0.1,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 大黃 (1.87 g)
 
 以上生藥製成浸膏0.42g(生藥與浸膏比例1.87:0.42=4.45:1) ( )
 
 大黃 (0.45 g)
 
 硬脂酸鈣 (0.01 g)
 
 結晶性纖維素 (0.02 g)
 
 澱粉 (0.10 g)"
衛署藥製字第002564號,勝昌,白虎加人參湯濃縮散(勝昌),濃縮散劑,14.58,知母:6|粳米:8|石膏:16|甘草:2|人參:3,,澱粉:3.6,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 知母 (6 g)
 
 粳米 (8 g)
 
 石膏 (16 g)
 
 甘草 (2 g)
 
 人參 (3 g)
 
 以上生藥製成浸膏2.4g(生藥與浸膏比例35：2.4＝14.58：1) ( )
 
 澱粉 (3.6 g)"
衛署藥製字第002578號,勝昌,小承氣湯濃縮散(勝昌),濃縮散劑,7.45,厚朴:9|大黃:6|枳實:6,,澱粉:1.68,✅ 解析成功,無需校正。,"處方:每4.5公克中含有：
 
 厚朴 (9 g)
 
 大黃 (6 g)
 
 枳實 (6 g)
 
 以上生藥製成浸膏2.82g(生藥與浸膏比例21：2.82＝7.45：1) ( )
 
 澱粉 (1.68 g)"
衛署藥製字第002590號,勝昌,茯苓濃縮散(勝昌),濃縮散劑,20,茯苓:5,茯苓:0.54,麥芽糊精:0.1|硬脂酸鈣:0.01|澱粉:0.1,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 茯苓 (5.00 g)
 
 以上生藥製成浸膏0.25g(生藥與浸膏比例5:0.25=20:1) ( )
 
 茯苓 (0.54 g)
 
 麥芽糊精 (0.10 g)
 
 硬脂酸鈣 (0.01 g)
 
 澱粉 (0.10 g)"
衛署藥製字第002794號,勝昌,大柴胡湯濃縮顆粒(勝昌),濃縮顆粒劑,5.67,柴胡:6|半夏:3|乾生薑:1|黃芩:3|芍藥:3|大棗:3|枳實:2|大黃:1,,澱粉:0.62,✅ 解析成功,無需校正。,"處方:每4.5公克中含有：
 
 柴胡 (6 g)
 
 半夏 (3 g)
 
 乾生薑 (1 g)
 
 黃芩 (3 g)
 
 芍藥 (3 g)
 
 大棗 (3 g)
 
 枳實 (2 g)
 
 大黃 (1 g)
 
 以上生藥製成浸膏3.88g(生藥與浸膏比例22:3.88=5.67:1) ( )
 
 澱粉 (0.62 g)"
衛署藥製字第002805號,勝昌,芍藥濃縮散(勝昌),濃縮散劑,5.34,芍藥:3.58,芍藥:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 芍藥 (3.58 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.58：0.67＝5.34：1) ( )
 
 芍藥 (0.33 g)"
衛署藥製字第002806號,勝昌,延胡索濃縮散(勝昌),濃縮散劑,4.74,延胡索:1.66,延胡索:0.4,硬脂酸鈣:0.01|澱粉:0.24,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有： 
 
 延胡索 (1.66 g)
 
 以上生藥製成浸膏0.35g(生藥與浸膏比例1.66:0.35=4.74:1) ( )
 
 延胡索 (0.40 g)
 
 硬脂酸鈣 (0.01 g)
 
 澱粉 (0.24 g)"
衛署藥製字第002807號,勝昌,吳茱萸濃縮散(勝昌),濃縮散劑,6.63,吳茱萸:4.44,吳茱萸:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 吳茱萸 (4.44 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例4.44:0.67=6.63:1) ( )
 
 吳茱萸 (0.33 g)"
衛署藥製字第002808號,勝昌,杏仁濃縮散(勝昌),濃縮散劑,5.56,杏仁:2.78,,硬脂酸鈣:0.01|結晶性纖維素:0.05|澱粉:0.44,✅ 解析成功,無需校正。,"處方:每公克中含有： 
 
 杏仁 (2.78 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.78:0.5=5.56:1) ( )
 
 硬脂酸鈣 (0.01 g)
 
 結晶性纖維素 (0.05 g)
 
 澱粉 (0.44 g)"
衛署藥製字第002809號,勝昌,山楂濃縮散(勝昌),濃縮散劑,2.5,山楂:1.25,山楂:0.35,硬脂酸鈣:0.02|結晶性纖維素:0.02|澱粉:0.11,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 山楂 (1.25 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例1.25:0.5＝2.5:1) ( )
 
 山楂 (0.35 g)
 
 硬脂酸鈣 (0.02 g)
 
 結晶性纖維素 (0.02 g)
 
 澱粉 (0.11 g)"
衛署藥製字第002810號,勝昌,黃柏濃縮散(勝昌),濃縮散劑,7.14,黃柏:2.5,黃柏:0.45,硬脂酸鈣:0.01|結晶性纖維素:0.05|澱粉:0.14,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有： 
 
 黃柏 (2.50 g)
 
 以上生藥製成浸膏0.35g(生藥與浸膏比例2.5:0.35=7.14:1) ( )
 
 黃柏 (0.45 g)
 
 硬脂酸鈣 (0.01 g)
 
 結晶性纖維素 (0.05 g)
 
 澱粉 (0.14 g)"
衛署藥製字第002811號,勝昌,薏苡仁濃縮散(勝昌),濃縮散劑,10,薏苡仁:3.5,,硬脂酸鈣:0.01|澱粉:0.64,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 薏苡仁 (3.50 g)
 
 以上生藥製成浸膏0.35g(生藥與浸膏比例3.5：0.35＝10：1) ( )
 
 硬脂酸鈣 (0.01 g)
 
 澱粉 (0.64 g)"
衛署藥製字第002814號,順天堂,乳香濃縮顆粒(順天堂),濃縮顆粒劑,8.3,乳香:5.56,乳香:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 乳香 (5.56 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例5.56:0.67=8.3:1) ( )
 
 乳香 (0.33 g)"
衛署藥製字第002815號,順天堂,沙苑子濃縮顆粒(順天堂),濃縮顆粒劑,8.3,沙苑子:5.56,沙苑子:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 沙苑子 (5.56 g)
 
 以上生藥製成浸膏0.67g（生藥與浸膏比例5.56：0.67=8.3：1） ( )
 
 沙苑子 (0.33 g)"
衛署藥製字第002819號,勝昌,知母濃縮散(勝昌),濃縮散劑,3.04,知母:1.52,,硬脂酸鈣:0.01|結晶性纖維素:0.25|澱粉:0.24,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 知母 (1.52 g)
 
 以上生藥製成浸膏0.50g（生藥與浸膏比例1.52：0.50=3.04：1） ( )
 
 硬脂酸鈣 (0.01 g)
 
 結晶性纖維素 (0.25 g)
 
 澱粉 (0.24 g)"
衛署藥製字第002820號,勝昌,柴胡濃縮散(勝昌),濃縮散劑,8.34,柴胡:2.92,,硬脂酸鈣:0.01|澱粉:0.64,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 柴胡 (2.92 g)
 
 以上生藥製成浸膏0.35g（生藥與浸膏比例2.92:0.35=8.34:1） ( )
 
 硬脂酸鈣 (0.01 g)
 
 澱粉 (0.64 g)"
衛署藥製字第002821號,勝昌,防己濃縮散(勝昌),濃縮散劑,5.12,防己:3.43,防己:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 防己 (3.43 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.43:0.67=5.12:1) ( )
 
 防己 (0.33 g)"
衛署藥製字第002833號,勝昌,陳皮濃縮散(勝昌),濃縮散劑,5.66,陳皮:3.79,陳皮:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 陳皮 (3.79 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.79:0.67=5.66:1) ( )
 
 陳皮 (0.33 g)"
衛署藥製字第002834號,勝昌,牡蠣濃縮散(勝昌),濃縮散劑,20,牡蠣:5,牡蠣:0.35,麥芽糊精:0.05|硬脂酸鈣:0.01|澱粉:0.34,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有： 
 
 牡蠣 (5.00 g)
 
 以上生藥製成浸膏0.25g(生藥與浸膏比例5:0.25=20:1) ( )
 
 牡蠣 (0.35 g)
 
 麥芽糊精 (0.05 g)
 
 硬脂酸鈣 (0.01 g)
 
 澱粉 (0.34 g)"
衛署藥製字第002835號,勝昌,梔子濃縮散(勝昌),濃縮散劑,5,梔子:2,,硬脂酸鈣:0.01|結晶性纖維素:0.1|澱粉:0.49,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 梔子 (2.00 g)
 
 以上生藥製成浸膏0.4g(生藥與浸膏比例2:0.4=5:1) ( )
 
 硬脂酸鈣 (0.01 g)
 
 結晶性纖維素 (0.10 g)
 
 澱粉 (0.49 g)"
衛署藥製字第002880號,順天堂,夜交藤濃縮顆粒(順天堂),濃縮顆粒劑,7.96,夜交藤:5.33,夜交藤:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 夜交藤 (5.33 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例5.33:0.67=7.96:1) ( )
 
 夜交藤 (0.33 g)"
衛署藥製字第002892號,順天堂,桑寄生濃縮顆粒(順天堂),濃縮顆粒劑,8.33,桑寄生:2.5,,澱粉:0.6|纖維粉:0.1,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 桑寄生 (2.5 g)
 
 以上生藥製成浸膏0.3g(生藥與浸膏比例2.5：0.3＝8.33：1) ( )
 
 澱粉 (0.6 g)
 
 纖維粉 (0.1 g)"
衛署藥製字第002895號,勝昌,葛根湯濃縮錠(勝昌),濃縮錠劑,7,葛根:0.333|麻黃:0.25|桂枝:0.167|白芍:0.167|炙甘草:0.167|生薑:0.25|大棗:0.222,,澱粉:0.13|碳酸甲基纖維素-鈣:0.008|滑石粉:0.004|微晶性纖維素:0.13|硬脂酸鎂:0.006,✅ 解析成功,無需校正。,"處方:每錠(500mg)中含有： 
 
 葛根 (333 mg)
 
 麻黃 (250 mg)
 
 桂枝 (167 mg)
 
 白芍 (167 mg)
 
 炙甘草 (167 mg)
 
 生薑 (250 mg)
 
 大棗 (222 mg)
 
 以上生藥製成浸膏222mg(生藥與浸膏比例1556:222=7:1) ( )
 
 澱粉 (130 mg)
 
 碳酸甲基纖維素-鈣 (8 mg)
 
 滑石粉 (4 mg)
 
 微晶性纖維素 (130 mg)
 
 硬脂酸鎂 (6 mg)"
衛署藥製字第002897號,勝昌,桂枝湯濃縮錠(勝昌),濃縮錠劑,6.8,桂枝:0.333|白芍:0.333|炙甘草:0.222|生薑:0.333|大棗:0.278,,澱粉:0.13|碳酸甲基纖維素-鈣:0.008|滑石粉:0.004|微晶性纖維素:0.13|硬脂酸鎂:0.006,✅ 解析成功,無需校正。,"處方:每錠(500mg)中含有：
 
 桂枝 (333 mg)
 
 白芍 (333 mg)
 
 炙甘草 (222 mg)
 
 生薑 (333 mg)
 
 大棗 (278 mg)
 
 以上生藥製成浸膏222mg(生藥與浸膏比例1499：222＝6.8：1） ( )
 
 澱粉 (130 mg)
 
 碳酸甲基纖維素-鈣 (8 mg)
 
 滑石粉 (4 mg)
 
 微晶性纖維素 (130 mg)
 
 硬脂酸鎂 (6 mg)"
衛署藥製字第002899號,勝昌,竹葉石膏湯濃縮散(勝昌),濃縮散劑,4.9,竹葉:2|石膏:16|半夏:4|人參:3|炙甘草:2|粳米:6|麥門冬:6,,澱粉:7,✅ 解析成功,無需校正。,"處方:每15公克中含有：
 
 竹葉 (2 g)
 
 石膏 (16 g)
 
 半夏 (4 g)
 
 人參 (3 g)
 
 炙甘草 (2 g)
 
 粳米 (6 g)
 
 麥門冬 (6 g)
 
 以上生藥製成浸膏8g(生藥與浸膏比例39:8＝4.9:1) ( )
 
 澱粉 (7 g)"
衛署藥製字第002900號,勝昌,消風散濃縮散(勝昌),濃縮散劑,5,當歸:2.5|生地黃:2.5|防風:2.5|蟬蛻:2.5|知母:2.5|苦參:2.5|胡麻:2.5|荊芥:2.5|蒼朮:2.5|牛蒡子:2.5|石膏:2.5|甘草:1.25|木通:1.25,,澱粉:6,✅ 解析成功,無需校正。,"處方:每12公克中含有：
 
 當歸 (2.50 g)
 
 生地黃 (2.50 g)
 
 防風 (2.50 g)
 
 蟬蛻 (2.50 g)
 
 知母 (2.50 g)
 
 苦參 (2.50 g)
 
 胡麻 (2.50 g)
 
 荊芥 (2.50 g)
 
 蒼朮 (2.50 g)
 
 牛蒡子 (2.50 g)
 
 石膏 (2.50 g)
 
 甘草 (1.25 g)
 
 木通 (1.25 g)
 
 以上生藥製成浸膏6g(生藥與浸膏比例30:6=5:1) ( )
 
 澱粉 (6.00 g)"
衛署藥製字第002902號,勝昌,清咽利膈湯濃縮散(勝昌),濃縮散劑,7.26,金銀花:2|防風:3|荊芥:3|薄荷:3|桔梗:3|黃芩:3|黃連:3|梔子:1.5|連翹:1.5|玄參:1.5|大黃:1.5|朴硝:1.5|牛蒡子:1.5|甘草:1.5,,澱粉:1.8,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 金銀花 (2 g)
 
 防風 (3 g)
 
 荊芥 (3 g)
 
 薄荷 (3 g)
 
 桔梗 (3 g)
 
 黃芩 (3 g)
 
 黃連 (3 g)
 
 梔子 (1.5 g)
 
 連翹 (1.5 g)
 
 玄參 (1.5 g)
 
 大黃 (1.5 g)
 
 朴硝 (1.5 g)
 
 牛蒡子 (1.5 g)
 
 甘草 (1.5 g)
 
 以上生藥製成浸膏4.2g(生藥與浸膏比例30.5：4.2＝7.26：1) ( )
 
 澱粉 (1.8 g)"
衛署藥製字第002944號,勝昌,黃連解毒湯濃縮錠(勝昌),濃縮錠劑,5.3,黃連:0.333|黃芩:0.333|黃柏:0.333|山梔子:0.333,,澱粉:0.12|碳酸甲基纖維素-鈣:0.008|滑石粉:0.004|微晶性纖維素:0.112|硬脂酸鎂:0.006,✅ 解析成功,無需校正。,"處方:每錠(500mg)中含有：
 
 黃連 (333 mg)
 
 黃芩 (333 mg)
 
 黃柏 (333 mg)
 
 山梔子 (333 mg)
 
 以上生藥製成浸膏250mg(生藥與浸膏比例1332:250＝5.3:1) ( )
 
 澱粉 (120 mg)
 
 碳酸甲基纖維素-鈣 (8 mg)
 
 滑石粉 (4 mg)
 
 微晶性纖維素 (112 mg)
 
 硬脂酸鎂 (6 mg)"
衛署藥製字第003028號,順天堂,”順天堂”神麴濃縮顆粒(順天堂),濃縮顆粒劑,2.63,神麴:1.76,神麴:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 神麴 (1.76 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例1.76:0.67=2.63:1) ( )
 
 神麴 (0.33 g)"
衛署藥製字第003033號,順天堂,”順天堂”絲瓜絡濃縮顆粒(順天堂),濃縮顆粒劑,14.28,絲瓜絡:9.57,絲瓜絡:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 絲瓜絡 (9.57 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例9.57:0.67=14.28:1) ( )
 
 絲瓜絡 (0.33 g)"
衛署藥製字第003034號,順天堂,葱白濃縮顆粒(順天堂),濃縮顆粒劑,7.06,蔥白:4.73,蔥白:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 蔥白 (4.73 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例4.73:0.67=7.06:1) ( )
 
 蔥白 (0.33 g)"
衛署藥製字第003035號,順天堂,”順天堂”玉竹濃縮顆粒(順天堂),濃縮顆粒劑,3.69,玉竹:2.47,玉竹:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 玉竹 (2.47 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例2.47:0.67=3.69:1) ( )
 
 玉竹 (0.33 g)"
